date,authorDisplayName,title,viewCount,numberOfFavorites,vizLink,shapeReference
2025-05-30,Nicole Klassen,Epic the Musical,245,22,https://public.tableau.com/views/EPICTheMusical/EPICtheMusical,050
2025-05-29,Serena Purslow,The Page Turners: Book Club Analysis,1255,28,https://public.tableau.com/views/ThePageTurnersBookClubAnalysis/BookClub,049
2025-05-28,Stephanie N. Anyama,Hospital Emergency Department Performance Dashboard,7856,148,https://public.tableau.com/views/HospitalEmergencyDepartmentPerformanceDashboard/OverviewTab,048
2025-05-27,Eric Balash,My Activity Tracker,4732,115,https://public.tableau.com/views/MyActivityTracker/MyActivityTracker,047
2025-05-26,Hideaki Yamamoto / Chasoso,Digital Quality of Life Index,4452,98,https://public.tableau.com/views/B2VB2025Week9/dashboard,046
2025-05-25,Shangruff Raina,Regional Daycare Cost Scorecard,1348,23,https://public.tableau.com/views/REGIONALDAYCARECOSTSCORECARD/REGIONALDAYCARECOSTSCORECARD,045
2025-05-24,Samuel Apanisile,MediTech Business Dashboard,11660,131,https://public.tableau.com/views/MediTechEnterprise/Overview,044
2025-05-23,Lara Willson,Histograms,3657,74,https://public.tableau.com/views/2025Week7-Histogram/ScreenTimeHistogram,043
2025-05-22,Samuel Parsons,Spiraling Satellite Charts,4292,170,https://public.tableau.com/views/SpiralingSatelliteCharts/SpiralingSatelliteCharts,042
2025-05-21,Bill Chen (Kochin Chen 陳克勤),DataFam Rising Stars 2025,2764,51,https://public.tableau.com/views/DataFamRisingStars2025DataFamRisingStars/1_1,041
2025-05-20,Dennis Kao,30-Day Chart Challenge 2025,10115,113,https://public.tableau.com/views/30DayChartChallenge2025/Final,040
2025-05-19,Sebastine Amede,Citizen Service Requests,10077,120,https://public.tableau.com/views/CitizenServiceRequestsTableauAcceleratorRedesign/Overview,039
2025-05-18,Akane Okamoto,Productivity Benchmark Report,3488,69,https://public.tableau.com/views/B2VB2025W6_MOM2025W13/B2VB2025W6MOM2025W13,038
2025-05-17,Brenda Chavez,Tableau Conference 2025 Favorite Charts and Techniques,4667,205,https://public.tableau.com/views/TC25FavoriteChartsTechniques/TC25ChartsTechniques,037
2025-05-16,Jennifer Dawes,Data Art: Happy Mother's Day,4285,76,https://public.tableau.com/views/DataArtHappyMothersDay/_,036
2025-05-15,Karina Chan,Stargazer's Map,3664,117,https://public.tableau.com/views/zodiac1/StargazersMap,035
2025-05-14,Dmitry Shirikov,SuperStore Business Dashboard 2025,18394,303,https://public.tableau.com/views/SuperStoreBusinessDashboard2025/Dashboard,034
2025-05-13,Waqar Ahmed Shaikh,Crumbs of Crumble,1690,38,https://public.tableau.com/views/CrumbsofCrumble/Crumble,033
2025-05-12,Shreya Arya,A Spring full of British Blossoms,2840,238,https://public.tableau.com/views/AspringfullofBritishBlossoms/BritishBlossoms,032
2025-05-11,Chris Westlake,100 Years of the Home of Scottish Rugby,2187,22,https://public.tableau.com/views/ScotlandatMurrayfield/Murrayfield,031
2025-05-10,Maureen Okonkwo,HR Management Dashboard,10395,144,https://public.tableau.com/views/HRDashboardAnalysis_17434656235520/Overview,030
2025-05-09,Adedamola (Damola) Ladipo,Recovery Report,10987,198,https://public.tableau.com/views/CFCPerformanceInsightsVizathonsquadsenseRecoveryReport/Dashboard,029
2025-05-08,Lilla Rasztik,2025 Habit Tracker,1914,33,https://public.tableau.com/views/2025HabitTracker/HabitTracker,028
2025-05-07,Ben Norland,A Golfer’s Quest,2691,24,https://public.tableau.com/views/McIlroysMasters/McIlroysMasters,027
2025-05-06,Harim Jung,Global CO2 Dashboard,16758,497,https://public.tableau.com/views/GlobalCODashboardPoweredbyTableauAgent/TableauAgentClimateDashboard,026
2025-05-05,Bo McCready,Two Eras of Safety (Iron Viz 2025 Winner),6595,104,https://public.tableau.com/views/TwoErasofSafetyIronViz2025Winner/TwoEras,025
2025-05-04,Ryan Soares,A Flight Less Travelled,3598,83,https://public.tableau.com/views/iv2025_rs_public/Dashboard1,024
2025-05-03,Kathryn McCrindle,Wildlife Strikes,7133,116,https://public.tableau.com/views/IV2025FinalDashboard-KathrynMcCrindle-WildlifeStrikes/Home,023
2025-05-02,Brittany Rosenau,Tableau Conference Step Tracker 2025,8641,77,https://public.tableau.com/views/TableauConferenceStepTracker2025/TC25StepTracker,022
2025-05-01,Shangruff Raina,Best Country to Live and Work,5387,59,https://public.tableau.com/views/2025sBESTCOUNTRYTOLIVEWORKMakeoverMonday2025Week14/2025sBESTCOUNTRIESTOLIVEWORK,021
